ANO_ELEICAO,ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,IDADE,FAIXA_ETARIA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
2020,RS,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,52.0,50 – 59 ANOS,50 – 54 ANOS,SIM,NAO,N,ELEITO
2020,MG,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,49.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,NÃO ELEITO
2020,MG,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,43.0,40 – 49 ANOS,40 – 44 ANOS,SIM,NAO,N,NÃO ELEITO
2020,RS,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,45.0,40 – 49 ANOS,45 – 49 ANOS,NAO,SIM,N,NÃO ELEITO
2020,RS,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,40.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,NÃO ELEITO
2020,ES,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,70.0,60 OU SUPERIOR,70 – 74 ANOS,SIM,NAO,S,NÃO ELEITO
2020,AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,47.0,40 – 49 ANOS,45 – 49 ANOS,NAO,NAO,N,ELEITO
2020,SE,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,28.0,ATÉ 29 ANOS,25 – 29 ANOS,SIM,SIM,N,NÃO ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,76.0,60 OU SUPERIOR,75 OU SUPERIOR,SIM,SIM,N,NÃO ELEITO
2020,TO,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,58.0,50 – 59 ANOS,55 – 59 ANOS,SIM,NAO,N,NÃO ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,43.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,NÃO ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,S,ELEITO
2020,BA,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50.0,50 – 59 ANOS,50 – 54 ANOS,NAO,SIM,N,NÃO ELEITO
2020,SP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,49.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,ELEITO
2020,MG,FEMININO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,42.0,40 – 49 ANOS,40 – 44 ANOS,SIM,SIM,N,NÃO ELEITO
2020,GO,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,58.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,N,ELEITO
2020,MA,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,26.0,ATÉ 29 ANOS,25 – 29 ANOS,SIM,NAO,N,NÃO ELEITO
2020,MG,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,49.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,NÃO ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,39.0,30 – 39 ANOS,35 – 39 ANOS,SIM,NAO,N,NÃO ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,62.0,60 OU SUPERIOR,60 – 64 ANOS,NAO,SIM,N,NÃO ELEITO
2020,RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,62.0,60 OU SUPERIOR,60 – 64 ANOS,NAO,NAO,N,ELEITO
2020,MG,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,74.0,60 OU SUPERIOR,70 – 74 ANOS,SIM,SIM,N,NÃO ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,56.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,N,NÃO ELEITO
2020,RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45.0,40 – 49 ANOS,45 – 49 ANOS,NAO,SIM,N,ELEITO
2020,RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60.0,60 OU SUPERIOR,60 – 64 ANOS,SIM,SIM,N,NÃO ELEITO
2020,SP,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,58.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,N,NÃO ELEITO
2020,RN,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,60.0,60 OU SUPERIOR,60 – 64 ANOS,NAO,NAO,N,NÃO ELEITO
2020,BA,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,54.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,ELEITO
2020,SC,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,38.0,30 – 39 ANOS,35 – 39 ANOS,NAO,SIM,N,NÃO ELEITO
2020,CE,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,55.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,N,ELEITO
2020,PB,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,52.0,50 – 59 ANOS,50 – 54 ANOS,SIM,NAO,N,NÃO ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,57.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,N,NÃO ELEITO
2020,PE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35.0,30 – 39 ANOS,35 – 39 ANOS,NAO,NAO,N,NÃO ELEITO
2020,GO,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,49.0,40 – 49 ANOS,45 – 49 ANOS,NAO,NAO,N,ELEITO
2020,RN,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,56.0,50 – 59 ANOS,55 – 59 ANOS,SIM,SIM,N,NÃO ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,66.0,60 OU SUPERIOR,65 – 69 ANOS,SIM,SIM,N,NÃO ELEITO
2020,RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,47.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,NÃO ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,38.0,30 – 39 ANOS,35 – 39 ANOS,NAO,NAO,N,ELEITO
2020,RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,41.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,ELEITO
2020,MT,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,64.0,60 OU SUPERIOR,60 – 64 ANOS,NAO,SIM,N,NÃO ELEITO
2020,MG,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,49.0,40 – 49 ANOS,45 – 49 ANOS,NAO,SIM,N,NÃO ELEITO
2020,RS,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,61.0,60 OU SUPERIOR,60 – 64 ANOS,SIM,SIM,N,NÃO ELEITO
2020,MG,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,48.0,40 – 49 ANOS,45 – 49 ANOS,SIM,SIM,N,ELEITO
2020,PE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,57.0,50 – 59 ANOS,55 – 59 ANOS,NAO,SIM,N,NÃO ELEITO
2020,RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,53.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,NÃO ELEITO
2020,SC,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,47.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,ELEITO
2020,GO,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PRETA,51.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,NÃO ELEITO
2020,RS,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,34.0,30 – 39 ANOS,30 – 34 ANOS,SIM,SIM,N,NÃO ELEITO
2020,PI,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,39.0,30 – 39 ANOS,35 – 39 ANOS,NAO,NAO,N,NÃO ELEITO
2020,MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,57.0,50 – 59 ANOS,55 – 59 ANOS,SIM,NAO,N,NÃO ELEITO
2020,PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,64.0,60 OU SUPERIOR,60 – 64 ANOS,NAO,NAO,N,NÃO ELEITO
2020,PI,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,51.0,50 – 59 ANOS,50 – 54 ANOS,NAO,SIM,N,ELEITO
2020,PR,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,42.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,NÃO ELEITO
2020,BA,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,40.0,40 – 49 ANOS,40 – 44 ANOS,NAO,SIM,N,NÃO ELEITO
2020,AM,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,48.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,NÃO ELEITO
2020,RR,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,39.0,30 – 39 ANOS,35 – 39 ANOS,NAO,NAO,N,ELEITO
2020,PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45.0,40 – 49 ANOS,45 – 49 ANOS,NAO,SIM,N,NÃO ELEITO
2020,PR,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,46.0,40 – 49 ANOS,45 – 49 ANOS,SIM,SIM,N,NÃO ELEITO
2020,GO,MASCULINO,LÊ E ESCREVE,DIVORCIADO(A),BRANCA,43.0,40 – 49 ANOS,40 – 44 ANOS,NAO,SIM,N,NÃO ELEITO
